interval,id,cell,entry,exit
2,0,1192,1211868039,1211868039
2,0,1112,1211868107,1211868107
2,0,991,1211868160,1211868160
2,0,791,1211868213,1211868213
2,0,592,1211868265,1211868265
2,0,391,1211868311,1211868311
2,0,193,1211868357,1211868357
2,0,34,1211872021,1211872021
2,0,831,1211872022,1211872022
2,0,1032,1211872072,1211872072
2,0,1074,1211872140,1211872140
2,0,1152,1211872198,1211872198
2,0,1192,1211872253,1211872253
2,0,1272,1211872313,1211872422
2,0,1273,1211872501,1211872546
2,0,1274,1211872604,1211873174
2,0,1233,1211873240,1211873240
2,0,1192,1211873295,1211873295
2,0,1151,1211873355,1211873355
2,0,1070,1211873415,1211873415
2,0,1069,1211873475,1211873475
2,0,1029,1211873535,1211873535
2,0,1028,1211873595,1211873595
2,0,987,1211873655,1211873655
2,0,1066,1211873729,1211873729
2,0,1146,1211873777,1211873777
2,0,1265,1211873837,1211873837
2,0,1345,1211873902,1211873922
2,0,1342,1211873978,1211873978
2,0,1341,1211874038,1211874098
2,0,1340,1211874158,1211874158
2,0,1341,1211874203,1211874273
2,0,1342,1211874328,1211874328
2,0,1344,1211874383,1211874383
2,0,1306,1211874443,1211874443
2,0,1266,1211874504,1211874504
2,0,1227,1211874558,1211874561
2,0,1187,1211874621,1211874621
2,0,1147,1211874681,1211874741
2,0,1187,1211874801,1211874801
2,0,1227,1211874863,1211874863
2,0,1266,1211874922,1211874922
2,0,1310,1211875047,1211875047
2,0,1311,1211875108,1211875108
2,0,1312,1211875161,1211875161
2,0,1311,1211875221,1211875221
2,0,1348,1211876538,1211876538
2,0,1306,1211876594,1211876594
2,0,1346,1211876654,1211876687
2,0,1345,1211876747,1211876747
2,0,1342,1211876808,1211876808
2,0,1340,1211876873,1211876873
2,0,1341,1211876928,1211876928
2,0,1381,1211876957,1211876957
2,0,1420,1211877019,1211877019
2,0,1341,1211877077,1211877137
2,0,1342,1211877185,1211877227
2,0,1340,1211877247,1211877247
2,0,1300,1211877307,1211877368
2,0,1341,1211877428,1211877428
2,0,1343,1211877488,1211877549
2,0,1341,1211877609,1211877730
2,0,1344,1211877791,1211877791
2,0,1306,1211877852,1211877852
2,0,1266,1211877913,1211877913
2,0,1227,1211877934,1211877934
2,0,1187,1211877995,1211877995
2,0,1147,1211878054,1211878234
2,0,1146,1211878294,1211878355
2,0,1066,1211878422,1211878422
2,0,946,1211878480,1211878535
2,2,1112,1211868059,1211868059
2,2,1033,1211868119,1211868119
2,2,871,1211868179,1211868179
2,2,672,1211868249,1211868249
2,2,511,1211868284,1211868284
2,2,312,1211868332,1211868332
2,2,113,1211868378,1211868378
2,2,635,1211872022,1211872022
2,2,835,1211872051,1211872051
2,2,993,1211872111,1211872111
2,2,1031,1211872183,1211872183
2,2,1071,1211872224,1211872342
2,2,1072,1211872408,1211872408
2,2,1155,1211872487,1211872487
2,2,1154,1211872553,1211872553
2,2,1155,1211872619,1211872619
2,2,1154,1211872930,1211872930
2,2,1155,1211872991,1211872991
2,2,1073,1211873051,1211873051
2,2,1032,1211873105,1211873105
2,2,831,1211873166,1211873166
2,2,712,1211873230,1211873230
2,2,592,1211873291,1211873291
2,2,635,1211873420,1211873420
2,3,979,1211868050,1211868050
2,3,899,1211868110,1211868110
2,3,898,1211868175,1211868215
2,3,858,1211868222,1211868222
2,3,898,1211868294,1211868294
2,3,818,1211868338,1211868338
2,3,778,1211868393,1211868393
2,3,779,1211868437,1211868437
2,3,780,1211868492,1211868492
2,3,781,1211868552,1211868552
2,3,742,1211868613,1211868648
2,3,783,1211868712,1211868712
2,3,823,1211868778,1211868778
2,3,824,1211868837,1211868837
2,3,825,1211868889,1211868889
2,3,786,1211868947,1211868947
2,3,747,1211869009,1211869055
2,3,866,1211869109,1211869109
2,3,906,1211869169,1211869169
2,3,946,1211869229,1211869229
2,3,1026,1211869289,1211869289
2,3,1107,1211869349,1211869411
2,3,1108,1211869470,1211869470
2,3,1109,1211869531,1211869654
2,3,1149,1211869714,1211869818
2,3,1150,1211869878,1211870244
2,3,1148,1211870304,1211870304
2,3,1147,1211870364,1211870382
2,3,1107,1211870442,1211870442
2,3,1067,1211870512,1211870512
2,3,1026,1211870623,1211870623
2,3,985,1211870685,1211870685
2,3,945,1211870743,1211870743
2,3,944,1211870804,1211870804
2,3,902,1211870864,1211870864
2,3,942,1211870925,1211871061
2,3,982,1211871107,1211871133
2,3,983,1211871193,1211871193
2,3,1023,1211871258,1211871258
2,3,1064,1211871317,1211871317
2,3,1066,1211871380,1211871436
2,3,1067,1211871504,1211871504
2,3,1068,1211871557,1211871557
2,3,1069,1211872019,1211872019
2,3,1188,1211872020,1211872021
2,3,1145,1211872022,1211872106
2,3,1144,1211872161,1211872220
2,3,1063,1211872280,1211872280
2,3,1023,1211872357,1211872357
2,3,984,1211872401,1211872401
2,3,944,1211872464,1211872521
2,3,904,1211872592,1211872592
2,3,864,1211872642,1211872642
2,3,825,1211872702,1211872702
2,3,826,1211872762,1211872762
2,3,786,1211872827,1211872827
2,3,707,1211872888,1211872888
2,3,667,1211872907,1211872963
2,3,627,1211873023,1211873023
2,3,588,1211873084,1211873084
2,3,591,1211873173,1211873173
2,3,593,1211873228,1211873228
2,3,635,1211873289,1211873289
2,3,634,1211873435,1211873678
2,5,74,1211870867,1211870867
2,5,272,1211870909,1211870909
