interval,id,cell,entry,exit
6,0,1232,1211911222,1211911222
6,0,1271,1211911283,1211911283
6,0,1273,1211911350,1211911350
6,0,1272,1211911403,1211911403
6,0,1271,1211911474,1211911801
6,0,1311,1211911862,1211911920
6,0,1352,1211911978,1211911978
6,0,1432,1211912038,1211912038
6,0,1431,1211912130,1211912132
6,0,1471,1211912204,1211912255
6,0,1470,1211912317,1211912317
6,0,1469,1211912395,1211913040
6,0,1428,1211913107,1211913934
6,0,1427,1211914123,1211914123
6,0,1428,1211914185,1211914185
6,0,1349,1211914241,1211914301
6,0,1348,1211914340,1211914340
6,0,1347,1211914401,1211914401
6,0,1387,1211914495,1211914711
6,0,1348,1211914784,1211914784
6,0,1268,1211914827,1211914888
6,0,1229,1211914957,1211914957
6,0,1189,1211915013,1211915013
6,0,1190,1211915068,1211915129
6,0,1191,1211915189,1211915265
6,0,1150,1211915329,1211916545
6,0,1110,1211916606,1211916606
6,0,1151,1211916666,1211916666
6,0,1152,1211916727,1211916727
6,0,1192,1211916797,1211916797
6,0,1193,1211916840,1211916967
6,0,1233,1211917277,1211917277
6,0,1193,1211917339,1211917491
6,0,1194,1211917539,1211917539
6,0,1233,1211917594,1211917654
6,0,1232,1211917715,1211917787
6,0,1311,1211917843,1211917843
6,0,1312,1211917914,1211917914
6,0,1392,1211917975,1211918045
6,0,1471,1211918056,1211918056
6,0,1470,1211918120,1211918171
6,0,1469,1211918230,1211918613
6,0,1428,1211918678,1211918863
6,0,1429,1211918931,1211918931
6,0,1471,1211918981,1211918981
6,0,1392,1211919087,1211919087
6,0,1312,1211919138,1211919138
6,0,1272,1211919201,1211919278
6,0,1232,1211919342,1211919398
6,0,1192,1211919458,1211919458
6,0,1191,1211919518,1211919646
6,0,1190,1211919701,1211919759
6,0,1149,1211919821,1211919821
6,0,1148,1211919879,1211919879
6,0,1146,1211919940,1211920713
6,0,1147,1211920758,1211920758
6,0,1149,1211920826,1211920826
6,0,1150,1211920879,1211920879
6,0,1110,1211920944,1211920944
6,0,1150,1211921000,1211921061
6,0,1191,1211921121,1211921121
6,0,1192,1211921194,1211921194
6,0,1232,1211921250,1211921250
6,0,1231,1211921292,1211921292
6,0,1271,1211921353,1211921353
6,0,1311,1211921404,1211921448
6,0,1350,1211921511,1211921511
6,0,1468,1211921628,1211921719
6,0,1428,1211921965,1211921965
6,1,635,1211917862,1211918603
6,1,634,1211918663,1211921968
6,2,634,1211913748,1211914008
