interval,id,cell,entry,exit
5,0,1230,1211900431,1211900715
5,0,1229,1211900775,1211900775
5,0,1188,1211900836,1211900836
5,0,1148,1211900896,1211900896
5,0,1108,1211900962,1211900962
5,0,1028,1211901022,1211901022
5,0,989,1211901082,1211901082
5,0,950,1211901137,1211901137
5,0,952,1211901197,1211901197
5,0,912,1211901264,1211901403
5,0,993,1211901459,1211901459
5,0,994,1211901519,1211901654
5,0,993,1211901747,1211901747
5,0,1033,1211901818,1211901818
5,0,1034,1211901868,1211901986
5,0,994,1211902051,1211902748
5,0,1035,1211902794,1211902794
5,0,1076,1211902869,1211902869
5,0,1115,1211902916,1211902916
5,0,1154,1211902976,1211902976
5,0,1153,1211903042,1211903247
5,0,1152,1211903329,1211903329
5,0,1192,1211903391,1211903391
5,0,1233,1211903458,1211903458
5,0,1194,1211903516,1211903516
5,0,1154,1211903578,1211903578
5,0,1194,1211903627,1211903629
5,0,1193,1211903735,1211903735
5,0,1152,1211903855,1211904814
5,0,1151,1211904864,1211904924
5,0,1111,1211904985,1211904985
5,0,1112,1211905058,1211905058
5,0,1073,1211905112,1211905112
5,0,1032,1211905128,1211905128
5,0,831,1211905193,1211905193
5,0,672,1211905263,1211905263
5,0,272,1211905366,1211905366
5,0,153,1211905425,1211905425
5,0,34,1211910234,1211910234
5,0,232,1211910294,1211910294
5,0,433,1211910363,1211910363
5,0,635,1211910408,1211910408
5,0,913,1211910493,1211910493
5,0,994,1211910553,1211910553
5,0,1036,1211910609,1211910609
5,0,1115,1211910669,1211910669
5,0,1154,1211910731,1211910731
5,0,1153,1211910767,1211910776
5,0,1193,1211910859,1211910860
5,0,1194,1211910925,1211910925
5,0,1273,1211910980,1211910980
5,0,1274,1211911041,1211911041
5,0,1273,1211911104,1211911104
5,0,1232,1211911162,1211911162
5,2,994,1211900466,1211900466
5,2,1035,1211900531,1211900531
5,2,1074,1211900585,1211900585
5,2,1152,1211900686,1211900686
5,2,1231,1211900786,1211900786
5,2,1229,1211900848,1211900848
5,2,1188,1211900907,1211900907
5,2,1186,1211900968,1211900968
5,2,1185,1211901044,1211901044
5,2,1184,1211901093,1211901093
5,2,1141,1211901154,1211901154
5,2,1140,1211901208,1211901268
5,2,1179,1211901328,1211901389
5,2,1139,1211901455,1211901455
5,2,1099,1211901509,1211901509
5,2,1058,1211901569,1211901913
5,2,1056,1211902015,1211902015
5,2,1054,1211902130,1211902130
5,2,1139,1211902401,1211902401
5,2,1140,1211902461,1211902461
5,2,1144,1211902582,1211902582
5,2,1145,1211902642,1211902642
5,2,1185,1211902715,1211902715
5,2,1186,1211902769,1211902824
5,2,1188,1211902884,1211902884
5,2,1190,1211902951,1211903011
5,2,1191,1211903071,1211903071
5,2,1232,1211903137,1211903137
5,2,1233,1211903274,1211903274
5,2,1274,1211903328,1211903452
5,2,1313,1211903530,1211903577
5,2,1311,1211903649,1211903649
5,2,1310,1211903691,1211903752
5,2,1307,1211903812,1211903812
5,2,1265,1211903872,1211903872
5,2,1264,1211903932,1211903932
5,2,1262,1211903993,1211903993
5,2,1341,1211904173,1211904253
5,2,1340,1211904320,1211904430
5,2,1300,1211904465,1211904465
5,2,1299,1211904566,1211904566
5,2,1300,1211904622,1211904622
5,2,1260,1211904681,1211904681
5,2,1262,1211904742,1211904742
5,2,1264,1211904791,1211904791
5,2,1306,1211904910,1211904910
5,2,1307,1211904965,1211904965
5,2,1310,1211905255,1211905312
5,2,1311,1211905383,1211905383
5,2,1312,1211905437,1211905437
5,2,1313,1211905499,1211905499
5,2,1273,1211905540,1211905549
5,2,1274,1211905602,1211905602
5,2,1234,1211905662,1211905662
5,2,1194,1211905728,1211905782
5,2,1153,1211905854,1211906722
5,2,1152,1211906777,1211906777
5,2,1234,1211906916,1211906916
5,2,1275,1211906965,1211906965
5,2,1393,1211907085,1211907085
5,2,1432,1211907156,1211907156
5,2,1431,1211907189,1211907398
5,2,1470,1211907567,1211907625
5,2,1432,1211907686,1211907686
5,2,1392,1211907734,1211907734
5,2,1314,1211907794,1211907794
5,2,1274,1211907860,1211907860
5,2,1235,1211907914,1211907914
5,2,1196,1211907976,1211907976
5,2,1076,1211908035,1211908035
5,2,995,1211908100,1211908100
5,2,675,1211908226,1211908226
5,2,634,1211908342,1211908342
5,3,796,1211900449,1211900449
5,3,756,1211900528,1211900532
5,3,755,1211900588,1211900588
5,3,794,1211900675,1211900730
5,3,836,1211900795,1211900795
5,3,876,1211900851,1211900851
5,3,956,1211900911,1211900911
5,3,1035,1211900971,1211900971
5,3,1075,1211901036,1211901036
5,3,1114,1211901093,1211901093
5,3,1153,1211901151,1211901151
5,3,1193,1211901211,1211901211
5,3,1192,1211901243,1211901244
5,3,1153,1211901304,1211901304
5,3,1152,1211901369,1211901369
5,3,1191,1211901433,1211901433
5,3,1151,1211901493,1211901493
5,3,1150,1211901550,1211901550
5,3,1149,1211901604,1211901667
5,3,1189,1211901735,1211901735
5,3,1149,1211901785,1211901826
5,3,1069,1211901886,1211901886
5,3,1110,1211901947,1211901947
5,3,1070,1211902011,1211902011
5,3,1031,1211902066,1211902066
5,3,991,1211902130,1211902130
5,3,831,1211902186,1211902186
5,3,672,1211902247,1211902247
5,3,552,1211902317,1211902317
5,3,471,1211902402,1211902436
5,3,469,1211902448,1211902448
5,3,428,1211902530,1211902530
5,3,466,1211902590,1211902590
5,3,506,1211902655,1211902655
5,3,507,1211902711,1211902711
5,3,587,1211902777,1211902831
5,3,627,1211902900,1211902900
5,3,667,1211902957,1211902981
5,3,628,1211903050,1211903050
5,3,588,1211903107,1211903107
5,3,589,1211903166,1211903166
5,3,592,1211903222,1211903222
5,3,593,1211903295,1211903295
5,3,594,1211903348,1211903348
5,3,635,1211903404,1211903404
5,3,675,1211903465,1211903465
5,3,715,1211903492,1211903499
5,3,755,1211903559,1211903559
5,3,794,1211903619,1211903619
5,3,792,1211903702,1211903764
5,3,832,1211903892,1211903938
5,3,831,1211903987,1211904063
5,3,828,1211904108,1211904168
5,3,827,1211904255,1211904334
5,3,907,1211904389,1211904389
5,3,947,1211904447,1211904447
5,3,987,1211904500,1211904500
5,3,988,1211904557,1211904557
5,3,1028,1211904584,1211904654
5,3,1029,1211904708,1211904708
5,3,1070,1211904777,1211904777
5,3,1152,1211904883,1211904883
5,3,1193,1211904961,1211904961
5,3,1194,1211905004,1211905004
5,3,1195,1211905191,1211905260
5,3,1234,1211905278,1211905323
5,3,1233,1211905401,1211905435
5,3,1193,1211905499,1211905499
5,3,1151,1211905545,1211905545
5,3,1110,1211905615,1211905615
5,3,1070,1211905668,1211905759
5,3,1031,1211905813,1211905980
5,3,1110,1211906047,1211906127
5,3,1109,1211906187,1211906187
5,3,1108,1211906252,1211906252
5,3,1147,1211906309,1211906309
5,3,1187,1211906387,1211906388
5,3,1188,1211906455,1211906529
5,3,1189,1211906590,1211906590
5,3,1190,1211906650,1211906650
5,3,1150,1211906705,1211906705
5,3,1149,1211906786,1211906832
5,3,1189,1211906889,1211906889
5,3,1188,1211906943,1211906943
5,3,1148,1211907032,1211907032
5,3,1108,1211907058,1211907222
5,3,1106,1211907331,1211907453
5,3,1065,1211907515,1211907515
5,3,1063,1211907580,1211907580
5,3,1020,1211907629,1211907629
5,3,1019,1211907689,1211907689
5,3,979,1211907749,1211907749
5,3,939,1211907814,1211907814
5,3,899,1211907927,1211907974
5,3,898,1211908028,1211908028
5,3,897,1211908088,1211908088
